Loai thuoc,Ten,Thanh phan,Công dụng (Chỉ định),Cách dùng - Liều dùng
thuoc khang sinh,Auclatyl,"Hoạt chất: Amoxicilin 500 mg (dưới dạng Amoxicilin trihydrat compacted 574 mg) bù hàm lượng 615,4 mg, Acid clavulanic 125 mg (dưới dạng Kali clavulanat/Avicel 297,5 mg) bù hàm lượng 333,7 mg
Tá dược: Colloidal silicon dioxid, Magnesi stearat, Croscarmellose natri, L - HPC, Polyplasdon XL 10, Avicel 112, Sepifilm LP 770 vừa đủ 1 viên.","Điều trị trong thời gian ngắn (dưới 14 ngày) các trường hợp nhiễm khuẩn gây ra bởi các chủng sản sinh ra beta - lactamase không đáp ứng với điều trị bằng các aminopenicilin đơn độc:
- Nhiễm khuẩn nặng đường hô hấp trên: Viêm amidan, viêm xoang, viêm tai giữa đã được điều trị bằng các kháng sinh thông thường nhưng không giảm.
- Nhiễm khuẩn đường hô hấp dưới bởi các chủng H.influenzae và Moraxella catarrhalis (tên trước đây: Branhamella catarrhalis) sản sinh beta - lactamase: Viêm phế quản cấp và mạn, viêm phổi - phế quản.
- Nhiễm khuẩn nặng đường tiết niệu - sinh dục bởi các chủng E. coli, Klebsiella và Enterobacter sản sinh beta - lactamase nhạy cảm: Viêm bàng quang, viêm niệu đạo, viêm bể thận (nhiễm khuẩn đường sinh dục nữ).
- Nhiễm khuẩn da và mô mềm: Mụn nhọt, côn trùng đốt, áp xe, nhiễm khuẩn vết thương, viêm mô tế bào.
- Nhiễm khuẩn xương và khớp: Viêm tủy xương.
- Nhiễm khuẩn nha khoa: Áp xe ổ răng.
- Nhiễm khuẩn khác: Nhiễm khuẩn do sẩy thai, nhiễm khuẩn sản, nhiễm khuẩn trong ổ bụng.","Cách dùng:
- Uống vào lúc bắt đầu ăn để giảm thiểu hiện tượng không dung nạp thuốc ở dạ dày - ruột.
- Không dùng thuốc quá 14 ngày mà không kiểm tra xem xét lại cách điều trị.
Liều dùng: Tính theo hàm lượng amoxicilin có trong thuốc.
- Người lớn và trẻ em trên 40kg: Uống 1 viên, cách 8 giờ/lần, trong 5 ngày.
- Người cao tuổi: Không cần điều chỉnh liều trừ khi độ thanh thải creatinin ≤ 30 ml/phút.
- Suy thận: Khi có tổn thương thận, phải thay đổi liều và/hoặc số lần cho thuốc để đáp ứng với tổn thương thận."
thuoc khang sinh,Klamentin,"Hoạt chất: Amoxicilin (dưới dạng amoxicilin trihydrat) 875mg, Acid clavulanic (dưới dạng kali clavulanat) 125mg
Tá dược vừa đủ 1 viên: Aerosil, polyplasdon XL, avicel M112, magnesi stearat, sepifilm LP914, titan dioxyd, talc.","Điều trị ngắn hạn các nhiễm khuẩn đường hô hấp trên và dưới, đường tiết niệu, da và mô mềm, xương và khớp. Klamentin có tính diệt khuẩn đối với nhiều loại vi khuẩn kể cả các dòng tiết beta - lactamase đề kháng với ampicilin và amoxicilin.","Liều dùng được tính theo amoxicilin, uống thuốc ngay trước bữa ăn để giảm thiểu hiện tượng không dung nạp thuốc ở dạ dày - ruột.
Người lớn và trẻ em trên 12 tuổi:
Nhiễm khuẩn nặng, uống 1 viên x 2 lần/ ngày.
Không dùng Klamentin 875/125 ở người suy thận trung bình.
Thời gian điều trị kéo dài từ 5 -10 ngày. Điều trị không được vượt quá 14 ngày mà không khám lại."
thuoc khang sinh,TV.Cefuroxime 500mg trị nhiễm khuẩn (3 vỉ x 10 viên),"Hoạt chất: Cefuroxim (dạng Cefuroxim axetil) 500mg.
Tá dược: Titan oxyd, avicel, aerosil 200, disolcel, natri laurylsulfat, HPMC, isopropanol, DST, magnesium stearat, PEG 6000, Talc vừa đủ 1 viên.","Cefuroxim axetil đường uống được chỉ định để điều trị nhiễm khuẩn thể nhẹ đến vừa ở đường hô hấp dưới, viêm tai giữa và viêm xoang tái phát, viêm amiđan và viêm họng tái phát do vi khuẩn nhạy cảm gây ra. Tuy nhiên, cefuroxim không phải là thuốc lựa chọn hàng đầu để điều trị những nhiễm khuẩn này, mà amoxicilin mới là thuốc ưu tiên sử dụng hàng đầu và an toàn hơn.
Cefuroxim axetil cũng được dùng để điều trị nhiễm khuẩn đường tiết niệu không biến chứng, và nhiễm khuẩn da và mô mềm do các vi khuẩn nhạy cảm gây ra. Cefuroxim axetil uống cũng được dùng để điều trị bệnh Lyme thời kỳ đầu biểu hiện bằng triệu chứng ban đỏ loang do Borrelia burgdorferi.","Dùng đường uống.
Người lớn:
- Viêm họng, viêm a-mi-dan hoặc viêm xoang hàm do vi khuẩn nhạy cảm: uống 250mg, 12 giờ một lần.
- Đợt kịch phát cấp tính của viêm phế quản mạn hoặc viêm phế quản cấp nhiễm thứ phát hoặc trong nhiễm khuẩn da và mô mềm không biến chứng: uống 250mg hoặc 500mg, 12 giờ một lần.
- Các nhiễm khuẩn đường tiết niệu không biến chứng: uống 125mg hoặc 250mg, 12 giờ một lần.
- Bệnh lậu cổ tử cung hoặc niệu đạo không biến chứng hoặc bệnh lậu trực tràng không biến chứng ở phụ nữ: uống liều duy nhất 1g.
- Bệnh Lyme mới mắc: uống 500mg/lần, ngày 2 lần, trong 20 ngày.
Trẻ em:
- Viêm họng, viêm a-mi-dan: uống 125mg, 12 giờ một lần.
- Viêm tai giữa, chốc lở: uống 250mg, 12 giờ một lần. Không nên nghiền nát viên thuốc.
Chú ý: Không phải thận trọng đặc biệt ở người bệnh suy thận hoặc đang thẩm tách thận hoặc người cao tuổi khi uống không quá liều tối đa thông thường 1g/ngày.
Liệu trình điều trị thông thường là 7 ngày."
thuoc khang sinh,Augmentin 1g trị nhiễm khuẩn (2 vỉ x 7 viên),"Mỗi viên nén bao phim chứa 875mg amoxicilin (dưới dạng amoxicilin trihydrat) và 125mg acid clavulanic (dạng kali clavulanat).
Tá dược: Magnesi stearat, natri starch glycolat, Silicon dioxid keo, cellulose vi tinh thể, titan dioxyd, hydroxypropyl methylcellulose 5cps, hydroxypropyl methylcellulose 15cps, polyethylen glycol 4000, polyethylen glycol 6000 và dầu Silicon.","AUGMENTIN là thuốc kháng sinh với phổ kháng khuẩn rộng đặc biệt chống lại các vi khuẩn thường gây bệnh trong cộng đồng và bệnh viện. Tác dụng ức chế men beta-lactamase của Clavulanate mở rộng phổ kháng khuẩn của Amoxicillin hơn nữa, bao gồm nhiều chủng đã kháng các kháng sinh nhóm beta-lactam khác.
Nên sử dụng AUGMENTIN theo hướng dẫn kê toa thuốc kháng sinh chính thức và dữ liệu về tính nhạy cảm của các vi khuẩn tại địa phương.
AUGMENTIN dạng uống dùng 2 lần/ngày được chỉ định để điều trị ngắn hạn nhiễm khuẩn ở các vị trí dưới đây:
Nhiễm khuẩn đường hô hấp trên (gồm cả tai – mũi - họng) như viêm amidan, viêm xoang, viêm tai giữa.
Nhiễm khuẩn đường hô hấp dưới như đợt cấp của viêm phế quản mạn, viêm phổi thùy và viêm phế quản phổi.
Nhiễm khuẩn đường niệu - sinh dục như viêm bàng quang, viêm niệu đạo, viêm thận - bể thận.
Nhiễm khuẩn da và mô mềm như nhọt, áp-xe, viêm mô tế bào, nhiễm khuẩn vết thương.
Nhiễm khuẩn xương và khớp như viêm tủy xương.
Nhiễm khuẩn răng như áp-xe ổ răng.
Các nhiễm khuẩn khác như nạo thai nhiễm khuẩn, nhiễm khuẩn sản khoa, nhiễm khuẩn trong ổ bụng.
Tính nhạy cảm của vi khuẩn với AUGMENTIN sẽ thay đổi theo địa lý và thời gian (xem Các Đặc tính dược học, Dược lực học để biết thêm thông tin). Nên tham khảo dữ liệu về tính nhạy cảm của các vi khuẩn tại địa phương nếu có, và tiến hành lấy mẫu vi sinh và xét nghiệm về tính nhạy cảm nếu cần.","Liều thông thường để điều trị nhiễm khuẩn
Người lớn và trẻ trên 12 tuổi*
Nhiễm khuẩn nhẹ đến vừa 1 viên AUGMENTIN 625mg x 2 lần/ngày.
Nhiễm khuẩn nặng 1 viên AUGMENTIN 1g x 2 lần/ngày.
Có thể bắt đầu điều trị bằng đường tiêm truyền và tiếp nối bằng đường uống.
Liều dùng cho nhiễm khuẩn răng (như áp-xe ổ răng)
Người lớn và trẻ trên 12 tuổi*: 1 viên AUGMENTIN 625mg x 2 lần/ngày, dùng trong 5 ngày.
* Không khuyến cáo dùng viên AUGMENTIN 625mg và 1g cho trẻ 12 tuổi và nhỏ hơn.
Liều dùng cho bệnh nhân suy thận
Người lớn
Chỉ nên dùng viên AUGMENTIN 1g cho những bệnh nhân có mức lọc cầu thận > 30ml/phút."
thuoc khang sinh,Dorogyne trị nhiễm khuẩn răng miệng (2 vỉ x 10 viên),"Mỗi viên nén bao phim chứa:
- Spiramycin base 750.000IU
- Metronidazol 125mg
- Tá dược: Lactose, Starch 1500, Povidon, Croscarmellose sodium, Avicel, Magnesi stearat, Aerosil, Hydroxypropylmethyl cellulose 15cP, Hydroxypropylmethyl cellulose 6cP, Polyethylen glycol 6000, Talc, Titan dioxyd, Màu Ponceau lake... vừa đủ 1 viên nén bao phim.","Các bệnh Nhiễm trùng răng miệng cấp, mạn tính hoặc tái phát như áp xe răng, Viêm tấy, Viêm mô tế bào quanh xương hàm, Viêm quanh thân răng, Viêm nướu, Viêm nha chu, Viêm miệng, Viêm tuyến mang tai, Viêm dưới hàm.
- Phòng các bệnh Nhiễm khuẩn răng miệng sau phẫu thuật.
- Dự Phòng trước khi phẫu thuật và Phòng ngừa ở bệnh nhân bị giảm sức đề kháng của cơ thể","Dùng uống.
Dùng uống trong các bữa ăn
- Người lớn: uống 4 - 6 viên/ngày, chia 2 - 3 lần. Trường hợp nặng, có thể tới 8 viên/ngày.
- Trẻ em:
Từ 6-9 tuổi: 2 viên/ngày, chia 2 lần.
Từ 10-15 tuổi: 3 viên/ngày, chia 3 lần."
thuoc khang sinh,Ospamox 500mg trị nhiễm khuẩn (1 vỉ x 10 viên),"Thành phần Ospamox 500mg gồm:
Amoxicilin (dưới dạng Amoxicilin trihydrat) 500mg.","Ðiều trị các nhiễm khuẩn do các vi khuẩn nhạy cảm với thuốc tại các vị trí sau: - Ðường hô hấp trên (bao gồm cả Tai Mũi Họng) như: viêm amidan, viêm xoang, viêm tai giữa; - Ðường hô hấp dưới, như đợt cấp của viêm phế quản mãn, viêm phổi thùy và viêm phổi phế quản; - Ðường tiêu hóa: như sốt thương hàn; - Ðường niệu - sinh dục: như viêm thận - bể thận, lậu, sảy thai nhiễm khuẩn hay nhiễm khuẩn sản khoa. Các nhiễm khuẩn như nhiễm khuẩn huyết, viêm nội tâm mạc và viêm màng não do vi khuẩn nhạy cảm với thuốc nên được điều trị khởi đầu theo đường tiêm với liều cao và, nếu có thể, kết hợp với một kháng sinh khác. - Dự phòng viêm nội tâm mạc: Amoxicillin có thể được sử dụng để ngăn ngừa du khuẩn huyết có thể phát triển viêm nội tâm mạc. Tham khảo thông tin kê toa đầy đủ về các vi khuẩn nhạy cảm.","Tùy theo đường sử dụng, tuổi tác, thể trọng và tình trạng chức năng thận của bệnh nhân, cũng như mức độ trầm trọng của nhiễm khuẩn và tính nhạy cảm của vi khuẩn gây bệnh. Người lớn và trẻ em trên 40kg: Tổng liều hàng ngày là 750mg đến 3g, chia làm nhiều lần; Trẻ em dưới 40kg: 20-50mg/kg/ngày, chia làm nhiều lần. Nên dùng dạng Amoxicillin Hỗn Dịch Nhỏ Giọt Trẻ Em cho trẻ dưới 6 tháng tuổi."
thuoc khang sinh,Ampicillin Domesco 500mg trị nhiễm khuẩn (10 vỉ x 10 viên),"Ampicillin (dưới dạng Ampicillin trihydrat compacted) 500 mg. 
Tá dược: Tinh bột khoai tây, Magnesi stearat, Colloidal Silicon dioxid A200, Nang cứng gelatin số 0.","Viêm đường hô hấp trên do Streptococcus pyogenes, Streptococcus pneumoniae, Haemophilus influenzae.
- Ampicillin điều trị có hiệu quả các bệnh viêm xoang, viêm tai giữa, viêm phế quản mạn tính bộc phát và viêm nắp thanh quản do các chủng vi khuẩn nhạy cảm gây ra.
- Điều trị lậu do Gonococcus chưa kháng các penicillin, thường dùng ampicillin hoặc ampicillin + probenecid (lợi dụng tương tác làm giảm đào thải các penicillin).
- Điều trị bệnh nhiễm Listeria:Vi khuẩn Listeria monocytogenes rất nhạy cảm với ampicillin, nên ampicillin được dùng để điều trị bệnh nhiễm Listeria.
- Do có hiệu quả tốt trên một số vi khuẩn khác, bao gồm cả liên cầu bêta nên ampicillin dùng rất tốt trong điều trị nhiễm khuẩn huyết ở trẻ sơ sinh và trẻ nhỏ, thường được kết hợp với aminoglycosid.","Dùng uống.
- Liều dùng ampicillin phụ thuộc vào loại bệnh, mức độ nặng nhẹ, tuổi và chức năng thận của người bệnh. Liều được giảm ở người suy thận nặng.
- Ampicillin thường được uống dưới dạng trihydrat. Thức ăn ảnh hưởng đến hiệu quả của ampicillin. Tránh uống thuốc vào bữa ăn.
Người lớn:
+ Liều uống thường 0,25g - 1g ampicillin/lần, cứ 6 giờ một lần, phải uống trước bữa ăn 30 phút hoặc sau bữa ăn 2 giờ. Với bệnh nặng, có thể uống 6-12g/ngày.
+ Để điều trị lậu không biến chứng do những chủng nhạy cảm với ampicillin, thường dùng liều 2,0 - 3,5g, kết hợp với 1g probenecid, uống 1 liều duy nhất. Với phụ nữ có thể dùng nhắc lại 1 lần nếu cần.
-Thuốc này không phù hợp sử dụng cho trẻ em.
Người suy thận:
+ Độ thanh thải creatinin 30ml/phút hoặc cao hơn: Không cần thay đổi liều thông thường ở người lớn.
+ Độ thanh thải creatinin 10ml/phút hoặc dưới: Cho liều thông thường cách 8 giờ/lần.
+ Người bệnh chạy thận nhân tạo phải dùng thêm 1 liều ampicillin sau mỗi lần thẩm tích.
Thời gian điều trị: Phụ thuộc vào loại và mức độ nặng của nhiễm khuẩn. Đối với đa số nhiễm khuẩn, trừ lậu, tiếp tục điều trị ít nhất 48 - 72 giờ sau khi người bệnh hết triệu chứng."
thuoc khang sinh,"Novofungin 250 phòng, trị nhiễm khuẩn kỵ khí (2 vỉ x 10 viên)","Thành phần hoạt chất: Metronidazole 250mg
Thành phần tá dược: Tinh bột mì, povidon K30, magnesi stearat, hypromellose, macrogol 6000.","Điều trị nhiễm động vật nguyên sinh nhạy cảm như nhiễm Trichomonas, nhiễm amíp, bệnh Balantidium, nhiễm Blastocystis hominis, nhiễm Giardia, giun rồng Dracunculus.
Điều trị và phòng ngừa nhiễm khuẩn kỵ khí. Các loại nhiễm khuẩn đặc trưng như nhiễm khuẩn phụ khoa, viêm loét nướu hoại tử cấp, bệnh viêm nhiễm vùng chậu và viêm kết tràng do kháng sinh.
Điều trị bệnh loét tiêu hóa do Helicobacter pylori (kết hợp với các thuốc khác).","Novofungin 250 được dùng bằng đường uống. Thuốc được uống cùng lúc hoặc sau bữa ăn.
Nhiễm Trichomonas
+ Liều duy nhất 2g hoặc,
+ Một đợt điều trị 7 ngày gồm 250mg x 3 lần/ngày.
Ngoài ra nên điều trị cho cả bạn tình.
Bệnh do amíp
Lỵ amíp cấp ở một do E. histolytica:
+ Người lớn: 750mg x 3 lần/ngày trong 5 -10 ngày.
+ Trẻ em: 35 - 50 mg/kg/ngày, chia làm 3 lần, trong 5 -10 ngày.
Áp xe gan do amíp:
+ Người lớn: 500 - 750mg x 3 lần/ngày trong 5 -10 ngày hoặc 1,5 - 2,5 g x 1 lần/ngày trong 2 hoặc 3 ngày.
+ Trẻ em: 35 - 50 mg/kg/ngày, chia làm 3 lần, trong 5 -10 ngày.
Bệnh Balantidium và nhiễm Blastocystis hominis:
750mg, 3 lần/ngày, lần lượt trong 5 và 10 ngày.
Bệnh do Giardia
+ Người lớn: 2g x 1 lần/ngày, trong 3 ngày liên tiếp hoặc 250mg x 3 lần/ngày, trong 5 - 7 ngày.
+ Trẻ em: 15 mg/kg/ngày chia làm 3 lần trong 5 - 7 ngày.
Bệnh do giun rồng Dracunculus
+ Người lớn: 250mg x 3 lần/ngày hoặc 25 mg/kg/ngày trong 10 ngàỵ.
+ Trẻ em: 25 mg/kg/ngày trong 10 ngày. Không quá 750 mg/ngày (dù trẻ trên 30 kg).
Nhiễm khuẩn kỵ khí:
7,5 mg/kg, cho tới tối đa 1g, cách 6 giờ 1 lần trong khoảng 7 ngày hoặc lâu hơn.
Nhiễm khuẩn phụ khoa:
Liễu duy nhất 2g hoặc một đợt điều trị 5 - 7 ngày với 500mg x 2 lần/ngày.
Viêm loét nướu hoại tử cấp:
250mg x 3 lần/ngày trong 3 ngày; liều tương tự được dùng trong nhiễm khuẩn miệng cấp.
Viêm đại tràng do kháng sinh:
500 mg x 3 - 4 lần mỗi ngày.
Viêm vùng chậu:
500 mg x 2 lần/ngày được phối hợp với ofloxacin 400mg x 2 lần/ngày; điều trị liên tục trong 14 ngày.
Phòng ngừa nhiễm khuẩn kỵ khí sau phẫu thuật:
20 - 30 mg/kg/ngày chia làm 3 lần.
Loét tiêu hóa do H. pylori:
500mg x 3 lần/ngày phối hợp với ít nhất một thuốc khác có hoạt tính diệt H. pylori (như bismuth subsalicylat, amoxicillin...) trong 1 - 2 tuần.
Suy gan:
Vì metronidazole được chuyển hóa chủ yếu bởi quá trình oxy hóa ở gan, việc tích tụ metronidazole và các chất chuyển hóa có thể xảy ra ở bệnh nhân suy chức năng gan nặng. Do đó, nên dùng metronidazole thận trọng và giảm liều cho bệnh nhân suy gan nặng, đặc biệt là bệnh não do gan khi các ảnh hưởng bất lợi của metronidazole có thể làm tăng thêm các triệu chứng của bệnh. Có thể dùng 373 liều thông thường hàng ngày x 1 lần/ngày cho những bệnh nhân này. Đối với những bệnh nhân có mức độ suy gan nhẹ hơn, các nghiên cứu dược động học không cho kết quả hằng định và không có khuyến cáo về giảm liều.
Suy thận:
Sự thải trừ metronidazole phần lớn không thay đổi ở bệnh nhân suy thận, mặc dù các chất chuyển hóa có thể tích tụ ở những bệnh nhân có bệnh thận giai đoạn cuối đang thẩm tách. Do đó, thường không khuyến cáo giảm liều cho bệnh nhân suy thận. Vì cả metronidazole và các chất chuyển hóa đều được loại bỏ bằng thẩm tách máu nên phải dung thuốc ngay sau khi thẩm tách máu."
thuoc khang sinh,Amoxicillin Domesco 500mg trị nhiễm khuẩn (10 vỉ x 10 viên),"Mỗi viên nang cứng chứa:
- Hoạt chất: Amoxicillin (dưới dạng Amoxicillin trihydrat compacted) 500mg.
- Tá dược: Natri starch glycolat, Natri lauryl sulfat, Magnesi Stearat, Colloidal silicon dioxid A200.","Các trường hợp nhiễm trùng do vi khuẩn nhạy cảm:
- Nhiễm khuẩn đường hô hấp trên, viêm xoang, viêm tai giữa.
- Nhiễm khuẩn đường hô hấp dưới do liên cầu khuẩn, phế cầu khuẩn, tụ cầu khuẩn không tiết penicillinase và H. influenzae.
- Nhiễm khuẩn đường tiết niệu không biến chứng.
- Bệnh lậu.
- Nhiễm khuẩn đường mật.
- Nhiễm khuẩn da, cơ do liên cầu khuẩn, tụ cầu khuẩn, E. coli nhạy cảm với amoxicillin.
- Nhiễm Chlamydia trachomatis đường tiết niệu sinh dục ở người mang thai không dung nạp được erythromycin.
- Viêm dạ dày - ruột (bao gồm viêm ruột do Salmonella, không do lỵ trực khuẩn), viêm màng trong tim (đặc biệt để dự phòng ở bệnh nhân phẫu thuật hoặc nhổ răng), sốt thương hàn và sốt phó thương hàn.
- Phối hợp với các thuốc khác trong điều trị nhiễm H. pylori ở bệnh nhân loét dạ dày tá tràng.","Dùng uống trước hoặc sau bữa ăn.
Nhiễm vi khuẩn nhạy cảm ở tai, mũi, họng, da, đường tiết niệu:
- Người lớn: Nhiễm khuẩn nhẹ, vừa: 1 viên 500mg x 2 lần/ngày; nhiễm khuẩn nặng: 1 viên 500mg x3 lần/ngày.
- Trẻ em ≥ 40 kg: nhiễm khuẩn nhẹ, vừa: 25mg/kg/ngày cách 12 giờ/lần; nhiễm khuẩn nặng: 40 - 45mg/kg/ngày cách 8 giờ/lần.
Nhiễm Helicobacter pylori:
- Người lớn: 2 viên 500mg phối hợp với clarithromycin 500mg và omeprazol 20mg (hoặc lansoprazol 30mg) uống 2 lần/ngày; trong 7 ngày. Sau đó, uống 20mg omeprazol (hoặc 30mg lansoprazol) mỗi ngày trong 3 tuần nữa nếu bị loét tá tràng tiến triển, hoặc 3 - 5 tuần nữa nếu bị loét dạ dày tiến triển.
Dự phòng viêm nội tâm mạc nhiễm khuẩn:
- Người lớn: Một liều duy nhất 2g, uống 1 giờ trước khi làm thủ thuật.
- Trẻ em > 10kg: Một liều duy nhất 50 mg/kg, uống 1 giờ trước khi làm thủ thuật.
Viêm khớp, không kèm theo rối loạn thần kinh do bệnh Lyme:
- Người lớn: 500 mg/lần, 3 lần/ngày trong 28 ngày.
- Trẻ em ≥ 30kg: 50 mg/kg/ngày chia làm 3 lần (tối đa 1.5 g/ngày).
* Đối với người suy thận, phải giảm liều theo hệ số thanh thải creatinin:
- Clcr < 10 ml/phút: 250 - 500 mg/24 giờ phụ thuộc vào mức độ nặng của nhiễm khuẩn.
- Clcr: 10-30 ml/phút: 250 - 500 mg/12 giờ phụ thuộc vào mức độ nặng của nhiễm khuẩn.
Bệnh nhân thẩm phân máu:
250 - 500mg/24 giờ phụ thuộc vào mức độ nặng của nhiễm khuẩn và một liều bổ sung trong và sau mỗi giai đoạn thẩm phân."
thuoc khang sinh,Wonfixime 200mg trị nhiễm khuẩn (1 vỉ x 10 viên),"Mỗi viên nang chứa:
Cefixime trihydrate tương đương Cefixime 200mg.
Tá dược: Lactose monohydrat, Magnesi stearat, Microcrystalline cellulose, Sodium Lauryl Sulfate, Colloidal Silicon Dioxide.","Nhiễm khuẩn đường tiết niệu không biến chứng do các chủng nhạy cảm E.coli hoặc Proteus mirabilis.
Viêm tai giữa do Haemophilus influenzae (kể cả các chủng tiết beta-lactamase), Moraxella catarrhalis (kể cả các chủng tiết beta-lactamase), Streptococcus pyogenes.
Viêm họng, viêm amidan do Streptococcus pyogenes.
Viêm phế quản cấp và mạn do Streptococcus pneumonia, Haemophilus influenza, Moraxella catarrhalis.
Còn được dùng điều trị bệnh lậu chưa có biến chứng do Neisseria gonorrhoeae (kể cả các chủng tiết beta-lactamase).","Người lớn: liều thường dùng 400mg/ngày, có thể dùng 1 lần hay chia làm 2 lần, cách nhau 12 giờ.
Trẻ em > 6 tháng - 12 tuổi: 8mg/kg/ngày, có thể dùng 1 lần/ngày hay chia làm 2 lần, mỗi lần cách nhau 12 giờ.
Thời gian điều trị: tùy loại nhiễm khuẩn nên kéo dài thêm 48-72 giờ sau khi các triệu chứng nhiễm khuẩn đã hết. Thời gian điều trị thông thường cho nhiễm khuẩn đường tiết niệu không biến chứng và nhiễm khuẩn đường hô hấp trên: 5 -10 ngày, nhiễm khuẩn đường hô hấp dưới và viêm tai giữa: 10 -14 ngày.
Bệnh nhân suy thận:
+ Độ thanh thải creatinine > 60ml/phút: không cần điều chỉnh liều dùng.
+ Độ thanh thải creatinine 21 - 60ml/phút: dùng liều cefixime 300mg/ngày.
+ Độ thanh thải creatinine < 20ml/phút: dùng liều cefixime 200mg/ngày.
Vì cefixime không mất đi qua thẩm phân máu nên những người bệnh chạy thận nhân tạo và lọc màng bụng: không cần bổ sung liều cefixime."
