Sentences,Label
Tiêu nhày trong các bệnh phế quản-phổi cấp & mãn tính kèm theo tăng tiết chất nhầy.,thuoc ho
"Paracetamol 500mg.

Tá dược: Acid citric khan, Natri carbonat khan, Natri hydrogen carbonat, Sorbitol, Natri saccharin, Natri docusat, Povidon, Natri benzoat vừa đủ cho một viên nén sủi bọt.",thuoc giam dau
"Nhiễm trùng răng miệng cấp tính, mãn tính hoặc tái phát đặc biệt là áp xe răng, viêm nướu, viêm miệng, viêm nha chu, viêm tuyến mang tai, viêm dưới hàm. Phòng ngừa nhiễm khuẩn răng miệng hậu phẫu.",thuoc khang sinh
"Khả năng sinh học của thuốc không bị ảnh hưởng bởi thức ăn và cefadroxil có thể uống cùng bữa ăn hoặc lúc bụng đói. Trường hợp rối loạn đường tiêu hóa, có chất ăn uống nguy hiểm trong bữa ăn.

Uống nguyên viên thuốc, không mộc với 1 ly nước đầy.",thuoc khang sinh
"Thuốc Medoclav 1g được chỉ định dùng bằng đường uống; bệnh nhân nên nuốt cả viên (hoặc có thể bẻ đôi, nếu cần) với nước và không được nhai; nên uống thuốc vào đầu bữa ăn để hạn chế tối đa khả năng không dung nạp đường tiêu hóa, sự hấp thu của thuốc là tối ưu khi uống vào đầu bữa ăn. Có thể bắt đầu điều trị bằng chế phẩm dùng đường tiêm và tiếp nối bằng Medoclav 1g dùng đường uống.",thuoc khang sinh
"Dùng đường uống.

Hòa tan hoàn toàn viên thuốc trong một ly nước lớn và uống.

Nếu trẻ sốt trên 38,5°C, hãy làm những bước sau đây để tăng hiệu quả của thuốc điều trị:

- Cởi bỏ bớt quần áo của trẻ.

- Cho trẻ uống thêm chất lỏng.

- Không để trẻ ở nơi quá nóng.

- Nếu cần, tắm cho trẻ bằng nước ấm, có nhiệt độ thấp hơn 2°C so với thân nhiệt của trẻ.

Thời gian điều trị

Thời gian điều trị được giới hạn:

- Đến 5 ngày trong các trường hợp đau.

- Đến 3 ngày trong các trường hợp sốt.

Nếu cơn đau kéo dài hơn 5 ngày hoặc sốt kéo dài hơn 3 ngày và nếu tình trạng này xảy ra nghiêm trọng hơn hoặc có bất kỳ triệu chứng khác, không được tiếp tục sử dụng thuốc mà không có sự đồng ý của bác sĩ hoặc dược sĩ của bạn.",thuoc giam dau
"Trẻ em từ 6-15 tuổi,mỗi lần uống 1 muỗng cà phê(5ml), ngày uống 3 lần, sau khi ăn.
Người lớn mỗi lần uống 1 muỗng canh(15ml), ngày uống 3 lần, sau khi ăn.
Cách dùng

Uống sau khi ăn.",thuoc ho
"Húng chanh (Folium Plectranthi amboinici) 2,500 g
Núc nác (Cortex Oroxyli) 0,625 mg
Cineol (Cineolum) 4,650 g",thuoc ho
"Làm loãng đờm, long đờm để chữa ho, làm dễ thở: trong các trường hợp viêm phế quản cấp và mạn, viêm mũi họng kèm theo chứng nhiều đờm, đờm đặc.",thuoc ho
"Paracetamol 325mg.

Clorpheniramin maleat 2mg.

(Tá dược gồm: Eragel, tinh bột sắn, amidon, gelatin, natri lauryl sulfat, magnesi stearat, bột talc, sunset yellow, tartrazine).",thuoc giam dau
